Model,mean_fit_time (s),std_fit_time (s),mean_score_time (s),std_score_time (s),param_metric,param_n_neighbors,params,split0_val_accuracy,split1_val_accuracy,split2_val_accuracy,split3_val_accuracy,split4_val_accuracy,split5_val_accuracy,split6_val_accuracy,split7_val_accuracy,split8_val_accuracy,split9_val_accuracy,mean_val_accuracy,std_val_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_val_kappa,split1_val_kappa,split2_val_kappa,split3_val_kappa,split4_val_kappa,split5_val_kappa,split6_val_kappa,split7_val_kappa,split8_val_kappa,split9_val_kappa,mean_val_kappa,std_val_kappa,split0_train_kappa,split1_train_kappa,split2_train_kappa,split3_train_kappa,split4_train_kappa,split5_train_kappa,split6_train_kappa,split7_train_kappa,split8_train_kappa,split9_train_kappa,mean_train_kappa,std_train_kappa,mean train - cross_val accuracy,mean train - cross_val kappa
KNeighborsClassifier,1.720594668,0.369525479,15.60805047,1.295383898,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",0.659068865,0.699171136,0.771947033,0.76647001,0.76345679,0.741935484,0.832083958,0.842479675,0.875258799,0.864088398,0.779706074,0.067549847,0.964979021,0.963602818,0.962956755,0.964307658,0.965218848,0.968865082,0.969725691,0.967555234,0.968231047,0.96816903,0.966361118,0.002289342,0.658638133,0.698792568,0.771657425,0.766171023,0.763152748,0.741601494,0.831870521,0.842280215,0.875100224,0.86391123,0.779425259,0.067634784,0.964934487,0.963556663,0.962909726,0.964262398,0.965174506,0.968825437,0.969687256,0.96751409,0.968190663,0.968128495,0.966318372,0.002292226,0.186655044,0.186893113
KNeighborsClassifier,1.930507374,0.438110648,19.48059459,1.084710911,manhattan,1,"{'metric': 'manhattan', 'n_neighbors': 1}",0.718234724,0.741589469,0.818538499,0.814650934,0.800493827,0.77617866,0.862568716,0.871443089,0.900621118,0.892265193,0.818026784,0.059013809,0.964979021,0.963602818,0.962956755,0.964307658,0.965218848,0.968865082,0.969725691,0.967555234,0.968231047,0.96816903,0.966361118,0.002289342,0.717879804,0.74126385,0.818307971,0.814413813,0.800237293,0.775888877,0.862393546,0.871280305,0.900494544,0.892124855,0.817794811,0.05908795,0.964934487,0.963556663,0.962909726,0.964262398,0.965174506,0.968825437,0.969687256,0.96751409,0.968190663,0.968128495,0.966318372,0.002292226,0.148334334,0.148523562
KNeighborsClassifier,3.184182882,0.620707264,12.26859033,1.100514972,chebyshev,1,"{'metric': 'chebyshev', 'n_neighbors': 1}",0.480116392,0.494392979,0.56007847,0.566863324,0.584691358,0.583622829,0.630684658,0.678861789,0.72515528,0.719337017,0.599889652,0.080491741,0.964979021,0.963602818,0.962956755,0.964307658,0.965218848,0.968865082,0.969725691,0.967555234,0.968231047,0.96816903,0.966361118,0.002289342,0.479463739,0.493761776,0.559521292,0.566310671,0.584161397,0.583081275,0.630215686,0.678456977,0.724808989,0.718970128,0.599381395,0.080590969,0.964934487,0.963556663,0.962909726,0.964262398,0.965174506,0.968825437,0.969687256,0.96751409,0.968190663,0.968128495,0.966318372,0.002292226,0.366471466,0.366936978
KNeighborsClassifier,1.793836689,0.384837783,23.22721775,1.179286265,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.638215325,0.666504144,0.736635606,0.75712881,0.742222222,0.725062035,0.794102949,0.831300813,0.855590062,0.83480663,0.756282289,0.068144079,0.876195804,0.866655485,0.862833836,0.865497403,0.864783385,0.8739538,0.864016503,0.862207135,0.861094141,0.862635847,0.865987334,0.004828124,0.637758246,0.666081527,0.736301028,0.756813509,0.741886096,0.724703084,0.793839275,0.831086325,0.855405941,0.834591191,0.755969697,0.06822986,0.876038025,0.866486168,0.862659252,0.865325368,0.864610665,0.873792363,0.863843198,0.862031964,0.860917195,0.862460418,0.865816462,0.004834139,0.109705045,0.109846764
KNeighborsClassifier,3.211312008,0.83191443,29.65369799,3.56731794,manhattan,3,"{'metric': 'manhattan', 'n_neighbors': 3}",0.70271581,0.70843491,0.784698382,0.80186824,0.781234568,0.752853598,0.846576712,0.864837398,0.889233954,0.874585635,0.798966745,0.063516814,0.897566434,0.89131164,0.886188401,0.887895883,0.890241179,0.900011159,0.888046387,0.88947632,0.887475701,0.888619187,0.890683229,0.004311728,0.70233917,0.708066471,0.784423721,0.8016115,0.780951237,0.752532457,0.846380621,0.864666564,0.889092848,0.874421768,0.798709275,0.063597195,0.897436003,0.891173748,0.886043672,0.887752611,0.8901011,0.899883178,0.887903757,0.889335884,0.887332511,0.888477045,0.890543951,0.004317104,0.091716484,0.091834676
KNeighborsClassifier,2.934153366,0.150754872,15.33409195,0.446300467,chebyshev,3,"{'metric': 'chebyshev', 'n_neighbors': 3}",0.437924345,0.434422233,0.502697401,0.539331367,0.526419753,0.540942928,0.575712144,0.621443089,0.66563147,0.630939227,0.545468225,0.073611436,0.75641958,0.755003914,0.74857526,0.748701335,0.748771773,0.752371387,0.744982159,0.743502699,0.738405998,0.740938931,0.747767304,0.005578232,0.437223629,0.433716432,0.50206383,0.538736999,0.525809181,0.540341216,0.575168266,0.620960313,0.66520686,0.630458137,0.544887814,0.073699846,0.756108066,0.754691749,0.748254284,0.748378968,0.748450153,0.752053399,0.744655829,0.743175575,0.738071856,0.740606636,0.747444651,0.005585387,0.202299079,0.202556837
KNeighborsClassifier,2.846487617,0.179469764,25.66416702,1.716052554,euclidean,4,"{'metric': 'euclidean', 'n_neighbors': 4}",0.640640155,0.662116041,0.736145169,0.7453294,0.743209877,0.718114144,0.792103948,0.822662602,0.850931677,0.829281768,0.752219491,0.066428888,0.860643357,0.852678072,0.849648005,0.85108641,0.853617686,0.859502288,0.848461195,0.847292559,0.847042488,0.847906438,0.85178785,0.004647606,0.640183513,0.661685286,0.735806533,0.74499804,0.742874661,0.717745913,0.791837923,0.82243736,0.850742337,0.829058445,0.75190069,0.066513542,0.860465391,0.85248949,0.849456335,0.850895615,0.853430398,0.859321747,0.84826763,0.847097893,0.846846759,0.847711664,0.851598292,0.004653382,0.099568359,0.099697603
KNeighborsClassifier,2.887976456,0.142083753,30.36529522,1.943372612,manhattan,4,"{'metric': 'manhattan', 'n_neighbors': 4}",0.709505335,0.701608971,0.790093183,0.795968535,0.779753086,0.756823821,0.845077461,0.859247967,0.890786749,0.870165746,0.798214375,0.062270099,0.886937063,0.882254277,0.877528215,0.876892141,0.880024565,0.888572704,0.877731936,0.877900829,0.875145793,0.877254924,0.880024245,0.004279118,0.709138187,0.70122956,0.789824696,0.79570415,0.779466275,0.756506578,0.84487957,0.859069304,0.890647797,0.86999658,0.797955424,0.062349254,0.886792918,0.882103784,0.877372257,0.876734486,0.87987119,0.888429725,0.877575945,0.877745401,0.874986273,0.877097932,0.879870991,0.004284476,0.081809869,0.081915567
KNeighborsClassifier,2.8875772,0.16383564,16.38298712,0.618079456,chebyshev,4,"{'metric': 'chebyshev', 'n_neighbors': 4}",0.427740058,0.433934666,0.488474743,0.525565388,0.523950617,0.532506203,0.554222889,0.599593496,0.649068323,0.61160221,0.532728093,0.068713462,0.721230769,0.716370346,0.710191083,0.714237837,0.711924967,0.711471934,0.707125335,0.702710223,0.701805054,0.702984498,0.710005205,0.006069251,0.427024082,0.433219622,0.487819722,0.52494774,0.523333952,0.531897473,0.55364979,0.599080989,0.64862202,0.61109425,0.532128847,0.068796894,0.72087444,0.716006809,0.709821443,0.713871105,0.711556335,0.711100758,0.706750791,0.702331037,0.701423298,0.702603449,0.709633947,0.006076887,0.177277111,0.177505099
KNeighborsClassifier,2.962377429,0.204286192,28.42239115,1.802984621,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.635305529,0.657240371,0.737616479,0.7453294,0.739259259,0.712158809,0.785607196,0.81453252,0.847826087,0.835911602,0.749159854,0.067491758,0.853034965,0.845968914,0.839814504,0.842540356,0.844461813,0.851634862,0.84015388,0.838722244,0.838489309,0.839962487,0.843478334,0.005002557,0.634843742,0.65680193,0.737279921,0.744997854,0.738918058,0.711783723,0.785332643,0.814297337,0.847632516,0.835697253,0.748837189,0.067577627,0.852847094,0.845771182,0.839609263,0.842338282,0.844262138,0.851443945,0.839949402,0.838515985,0.838282699,0.839757001,0.843277699,0.005008834,0.09431848,0.09444051
KNeighborsClassifier,2.852271986,0.101547792,32.27129807,1.828272308,manhattan,5,"{'metric': 'manhattan', 'n_neighbors': 5}",0.695441319,0.704534373,0.788131437,0.800884956,0.781728395,0.749875931,0.84057971,0.859247967,0.887163561,0.865745856,0.795656317,0.063183559,0.881566434,0.875153752,0.868588669,0.869854214,0.873660116,0.882211807,0.869313113,0.869274862,0.867314635,0.869366139,0.872630374,0.005141043,0.695057761,0.70415664,0.787859879,0.800626652,0.781443836,0.749549993,0.840376234,0.859069304,0.887019908,0.865570726,0.79539394,0.063263819,0.88141534,0.874993865,0.868420643,0.869687475,0.873498178,0.882060633,0.86914632,0.869108103,0.867145411,0.86919902,0.872467499,0.005147483,0.076974057,0.077073559
KNeighborsClassifier,2.993594193,0.23340938,17.12071505,0.987255262,chebyshev,5,"{'metric': 'chebyshev', 'n_neighbors': 5}",0.422890398,0.432471965,0.493379107,0.523107178,0.516049383,0.51662531,0.553723138,0.589430894,0.652173913,0.592265193,0.527411346,0.067392639,0.695328671,0.694062395,0.689965359,0.688823102,0.694059848,0.686809508,0.682760928,0.677388836,0.675090253,0.677056325,0.686134523,0.007244387,0.422165088,0.431755074,0.492727068,0.522487948,0.515419524,0.515993156,0.553147721,0.588906549,0.651734642,0.591727826,0.526803991,0.067475667,0.694938059,0.693668907,0.689568031,0.688422537,0.693666444,0.686405418,0.682354309,0.676975431,0.674673903,0.676640285,0.685731332,0.007253524,0.158723177,0.158927342
